TOTAL COST,REGULAR VEHICLE COST,MRT OUTSOURCE COST,LOWER BOUND,GAP,RUNTIME,INSTANCE NAME
162.95999999999998,141.95999999999998,21.0,162.95999999999998,0.0,0.04900002479553223,A-n7-k2-m3-b1
242.34000000000003,242.34,0.0,242.34,1.1728030630685816e-16,0.020999908447265625,A-n8-k3-m0-b1
242.33999999999997,242.34000000000003,0.0,242.34000000000003,-2.345606126137163e-16,0.0280001163482666,A-n8-k3-m1-b1
148.78,142.78,6.0,148.78,0.0,0.031999826431274414,A-n8-k3-m2-b1
148.77999999999997,142.78,6.0,148.77999999999997,0.0,0.029999971389770508,A-n8-k3-m3-b1
2460.9800000000005,2460.9800000000005,0.0,1030.33,1.3885357118593078,14449.980000019073,A-n80-k10-m0-b5
2545.93,2545.93,0.0,1081.8649470084315,1.3532789439569097,14401.298000097275,A-n80-k10-m1-b5
2233.2099999999996,2191.209999999999,42.0,1072.741510290926,1.0817783022066108,14401.496000051498,A-n80-k10-m2-b5
2633.92,2633.920000000001,0.0,1086.5764033766268,1.4240541132817481,14408.085999965668,A-n80-k10-m3-b5
202.43,202.43,0.0,202.43,0.0,0.03099989891052246,A-n9-k3-m0-b1
202.43,202.43,0.0,202.43,0.0,0.02499985694885254,A-n9-k3-m1-b1
181.26,143.26,38.0,181.26,0.0,0.06099987030029297,A-n9-k3-m2-b1
181.26,143.26,38.0,181.26,0.0,0.04900002479553223,A-n9-k3-m3-b1
